"Request Source	Country Code	Asset Id	Originating System ID"
"FEDORA	AL	9923880038901921	oai:bir.brandeis.edu:10192/27094"
"FEDORA	AL	9923880045801921	oai:bir.brandeis.edu:10192/23839"
"FEDORA	AL	9923880073001921	oai:bir.brandeis.edu:10192/24870"
"FEDORA	AL	9923880076701921	oai:bir.brandeis.edu:10192/32311"
"FEDORA	AL	9923880078601921	oai:bir.brandeis.edu:10192/32321"
"FEDORA	AL	9923880080401921	oai:bir.brandeis.edu:10192/33914"
"FEDORA	AL	9923880083701921	oai:bir.brandeis.edu:10192/25093"
"FEDORA	AL	9923880086001921	oai:bir.brandeis.edu:10192/23301"
"FEDORA	AL	9923880183201921	oai:bir.brandeis.edu:10192/30680"
"FEDORA	AL	9923880183401921	oai:bir.brandeis.edu:10192/30516"
"FEDORA	AL	9923880184801921	oai:bir.brandeis.edu:10192/27571"
"FEDORA	AM	9923879940301921	oai:bir.brandeis.edu:10192/24259"
"FEDORA	AM	9923879964501921	oai:bir.brandeis.edu:10192/30491"
"FEDORA	AM	9923880012001921	oai:bir.brandeis.edu:10192/23861"
"FEDORA	AM	9923880013001921	oai:bir.brandeis.edu:10192/25010"
"FEDORA	AM	9923880024701921	oai:bir.brandeis.edu:10192/23233"
"FEDORA	AM	9923880031401921	oai:bir.brandeis.edu:10192/30470"
"FEDORA	AM	9923880035001921	oai:bir.brandeis.edu:10192/32068"
"FEDORA	AM	9923880038201921	oai:bir.brandeis.edu:10192/25120"
"FEDORA	AM	9923880060801921	oai:bir.brandeis.edu:10192/28573"
"FEDORA	AM	9923880183201921	oai:bir.brandeis.edu:10192/30680"
"FEDORA	AO	9923879927201921	oai:bir.brandeis.edu:10192/31812"
"FEDORA	AO	9923880076701921	oai:bir.brandeis.edu:10192/32311"
"FEDORA	AO	9923880091601921	oai:bir.brandeis.edu:10192/32316"
"FEDORA	AO	9923880183201921	oai:bir.brandeis.edu:10192/30680"
"FEDORA	AR	9923879922401921	oai:bir.brandeis.edu:10192/32320"
"FEDORA	AR	9923879925101921	oai:bir.brandeis.edu:10192/24590"
"FEDORA	AR	9923879930801921	oai:bir.brandeis.edu:10192/27240"
"FEDORA	AR	9923879931301921	oai:bir.brandeis.edu:10192/34131"
"FEDORA	AR	9923879933001921	oai:bir.brandeis.edu:10192/31814"
"FEDORA	AR	9923879933301921	oai:bir.brandeis.edu:10192/24770"
"FEDORA	AR	9923879934901921	oai:bir.brandeis.edu:10192/28572"
"FEDORA	AR	9923879935101921	oai:bir.brandeis.edu:10192/30790"
"FEDORA	AR	9923879938301921	oai:bir.brandeis.edu:10192/30598"
"FEDORA	AR	9923879939101921	oai:bir.brandeis.edu:10192/31050"
"FEDORA	AR	9923879940301921	oai:bir.brandeis.edu:10192/24259"
"FEDORA	AR	9923879945701921	oai:bir.brandeis.edu:10192/32374"
"FEDORA	AR	9923879948101921	oai:bir.brandeis.edu:10192/24532"
"FEDORA	AR	9923879950701921	oai:bir.brandeis.edu:10192/25152"
"FEDORA	AR	9923879952001921	oai:bir.brandeis.edu:10192/25154"
"FEDORA	AR	9923879954501921	oai:bir.brandeis.edu:10192/24711"
"FEDORA	AR	9923879960901921	oai:bir.brandeis.edu:10192/23884"
"FEDORA	AR	9923879965301921	oai:bir.brandeis.edu:10192/23882"
"FEDORA	AR	9923879970701921	oai:bir.brandeis.edu:10192/27099"
"FEDORA	AR	9923879978701921	oai:bir.brandeis.edu:10192/24379"
"FEDORA	AR	9923879980401921	oai:bir.brandeis.edu:10192/26316"
"FEDORA	AR	9923880012001921	oai:bir.brandeis.edu:10192/23861"
"FEDORA	AR	9923880013501921	oai:bir.brandeis.edu:10192/27710"
"FEDORA	AR	9923880014701921	oai:bir.brandeis.edu:10192/32314"
"FEDORA	AR	9923880018001921	oai:bir.brandeis.edu:10192/30632"
"FEDORA	AR	9923880027901921	oai:bir.brandeis.edu:10192/33895"
"FEDORA	AR	9923880031101921	oai:bir.brandeis.edu:10192/25053"
"FEDORA	AR	9923880033501921	oai:bir.brandeis.edu:10192/30534"
"FEDORA	AR	9923880033801921	oai:bir.brandeis.edu:10192/32248"
"FEDORA	AR	9923880036901921	oai:bir.brandeis.edu:10192/30614"
"FEDORA	AR	9923880038901921	oai:bir.brandeis.edu:10192/27094"
"FEDORA	AR	9923880042501921	oai:bir.brandeis.edu:10192/34140"
"FEDORA	AR	9923880050001921	oai:bir.brandeis.edu:10192/26322"
"FEDORA	AR	9923880052001921	oai:bir.brandeis.edu:10192/32274"
"FEDORA	AR	9923880057101921	oai:bir.brandeis.edu:10192/33952"
"FEDORA	AR	9923880059001921	oai:bir.brandeis.edu:10192/33881"
"FEDORA	AR	9923880060801921	oai:bir.brandeis.edu:10192/28573"
"FEDORA	AR	9923880064401921	oai:bir.brandeis.edu:10192/25030"
"FEDORA	AR	9923880064701921	oai:bir.brandeis.edu:10192/30619"
"FEDORA	AR	9923880070701921	oai:bir.brandeis.edu:10192/23243"
"FEDORA	AR	9923880076701921	oai:bir.brandeis.edu:10192/32311"
"FEDORA	AR	9923880078601921	oai:bir.brandeis.edu:10192/32321"
"FEDORA	AR	9923880083701921	oai:bir.brandeis.edu:10192/25093"
"FEDORA	AR	9923880084101921	oai:bir.brandeis.edu:10192/27076"
"FEDORA	AR	9923880089901921	oai:bir.brandeis.edu:10192/25350"
"FEDORA	AR	9923880093001921	oai:bir.brandeis.edu:10192/33711"
"FEDORA	AR	9923880183201921	oai:bir.brandeis.edu:10192/30680"
"FEDORA	AR	9923880183401921	oai:bir.brandeis.edu:10192/30516"
"FEDORA	AR	9923880287601921	oai:bir.brandeis.edu:10192/33753"
"FEDORA	AR	9923880291101921	oai:bir.brandeis.edu:10192/27060"
"FEDORA	AR	9923880291301921	oai:bir.brandeis.edu:10192/33652"
"FEDORA	AS	9923880055501921	oai:bir.brandeis.edu:10192/25162"
"FEDORA	AT	9923879922301921	oai:bir.brandeis.edu:10192/32285"
"FEDORA	AT	9923879922401921	oai:bir.brandeis.edu:10192/32320"
"FEDORA	AT	9923879929101921	oai:bir.brandeis.edu:10192/32089"
"FEDORA	AT	9923879930801921	oai:bir.brandeis.edu:10192/27240"
"FEDORA	AT	9923879931301921	oai:bir.brandeis.edu:10192/34131"
"FEDORA	AT	9923879933901921	oai:bir.brandeis.edu:10192/32276"
"FEDORA	AT	9923879934901921	oai:bir.brandeis.edu:10192/28572"
"FEDORA	AT	9923879936001921	oai:bir.brandeis.edu:10192/24400"
"FEDORA	AT	9923879937301921	oai:bir.brandeis.edu:10192/24359"
"FEDORA	AT	9923879938301921	oai:bir.brandeis.edu:10192/30598"
"FEDORA	AT	9923879939101921	oai:bir.brandeis.edu:10192/31050"
"FEDORA	AT	9923879940401921	oai:bir.brandeis.edu:10192/13"
"FEDORA	AT	9923879945701921	oai:bir.brandeis.edu:10192/32374"
"FEDORA	AT	9923879948501921	oai:bir.brandeis.edu:10192/24059"
"FEDORA	AT	9923879954501921	oai:bir.brandeis.edu:10192/24711"
"FEDORA	AT	9923879958301921	oai:bir.brandeis.edu:10192/24710"
"FEDORA	AT	9923879960001921	oai:bir.brandeis.edu:10192/24061"
"FEDORA	AT	9923879960901921	oai:bir.brandeis.edu:10192/23884"
