assetID, owningItem, assetFileID, timestamp, countrycode, ip,,,,,,
oai:bir.brandeis.edu:10192/32322,38529, PDF-1,1602094972, ZM,165.56.181.229,,,,,,
oai:bir.brandeis.edu:10192/25010,27466, PDF-1,1594456912, ZM,197.212.161.152,,,,,,
oai:bir.brandeis.edu:10192/25010,27466, PDF-1,1594456914, ZM,197.212.161.152,,,,,,
oai:bir.brandeis.edu:10192/25010,27466, PDF-1,1594456914, ZM,197.212.161.152,,,,,,
oai:bir.brandeis.edu:10192/25010,27466, PDF-1,1594456914, ZM,197.212.161.152,,,,,,
oai:bir.brandeis.edu:10192/25010,27466, PDF-1,1594456989, ZM,197.212.161.152,,,,,,
oai:bir.brandeis.edu:10192/25010,27466, PDF-1,1594456992, ZM,197.212.161.152,,,,,,
oai:bir.brandeis.edu:10192/25010,27466, PDF-1,1594457000, ZM,197.212.161.152,,,,,,
oai:bir.brandeis.edu:10192/25010,27466, PDF-1,1594457004, ZM,197.212.161.152,,,,,,
oai:bir.brandeis.edu:10192/32311,38489, PDF-1,1599569913, ZM,41.223.117.34,,,,,,
oai:bir.brandeis.edu:10192/32311,38489, PDF-1,1594621651, ZM,41.223.119.40,,,,,,
oai:bir.brandeis.edu:10192/23244,23472, PDF-1,1599807102, ZM,41.60.189.73,,,,,,
oai:bir.brandeis.edu:10192/25010,27466, PDF-1,1594469352, ZM,41.77.4.167,,,,,,
oai:bir.brandeis.edu:10192/25010,27466, PDF-1,1594469352, ZM,41.77.4.167,,,,,,
https://hdl.handle.net/10192/36655,45858, PDF-1,1599137947, ZA,102.132.222.81,,,,,,
https://hdl.handle.net/10192/35789,43684, PDF-1,1599234100, ZA,102.141.75.185,,,,,,
https://hdl.handle.net/10192/36632,43615, PDF-1,1584596234, ZA,102.182.252.130,,,,,,
https://hdl.handle.net/10192/36632,43615, PDF-1,1584594309, ZA,102.182.252.130,,,,,,
oai:bir.brandeis.edu:10192/25095,26541, PDF-1,1600152605, ZA,102.182.51.190,,,,,,
https://hdl.handle.net/10192/35778,43977, PDF-1,1601298306, ZA,102.249.0.125,,,,,,
oai:bir.brandeis.edu:10192/92,25738, PDF-1,1597899851, ZA,102.249.3.96,,,,,,
https://hdl.handle.net/10192/36735,45155, PDF-1,1602052490, ZA,102.250.4.102,,,,,,
oai:bir.brandeis.edu:10192/30533,34506, PDF-1,1599607142, ZA,102.250.4.135,,,,,,
oai:bir.brandeis.edu:10192/30533,34506, PDF-1,1599607144, ZA,102.250.4.135,,,,,,
oai:bir.brandeis.edu:10192/32311,38489, PDF-1,1584583883, ZA,102.250.4.213,,,,,,
oai:bir.brandeis.edu:10192/30533,34506, PDF-1,1599607144, ZA,102.250.4.216,,,,,,
oai:bir.brandeis.edu:10192/30533,34506, PDF-1,1599607144, ZA,102.250.4.216,,,,,,
oai:bir.brandeis.edu:10192/35660,43221, PDF-1,1584013152, ZA,102.250.5.188,,,,,,
oai:bir.brandeis.edu:10192/30680,34846, PDF-1,1600014427, ZA,102.250.5.223,,,,,,
oai:bir.brandeis.edu:10192/30680,34846, PDF-1,1600014429, ZA,102.250.5.223,,,,,,
oai:bir.brandeis.edu:10192/30680,34846, PDF-1,1600014429, ZA,102.250.5.223,,,,,,
oai:bir.brandeis.edu:10192/30680,34846, PDF-1,1600014429, ZA,102.250.5.223,,,,,,
oai:bir.brandeis.edu:10192/30680,34846, PDF-1,1600014417, ZA,102.250.5.237,,,,,,
oai:bir.brandeis.edu:10192/30680,34846, PDF-1,1600014429, ZA,102.250.5.237,,,,,,
oai:bir.brandeis.edu:10192/32333,38593, PDF-1,1601368250, ZA,102.250.5.45,,,,,,
oai:bir.brandeis.edu:10192/32311,38489, PDF-1,1584204046, ZA,102.250.6.212,,,,,,
oai:bir.brandeis.edu:10192/70,25655, PDF-1,1591211344, ZA,102.252.64.106,,,,,,
oai:bir.brandeis.edu:10192/24257,25011, PDF-1,1598032831, ZA,102.252.65.24,,,,,,
oai:bir.brandeis.edu:10192/24370,25474, PDF-1,1598111600, ZA,102.39.104.57,,,,,,
oai:bir.brandeis.edu:10192/25053,26164, PDF-1,1587883159, ZA,102.65.151.248,,,,,,
oai:bir.brandeis.edu:10192/35395,42695, PDF-1,1602056258, ZA,102.66.142.207,,,,,,
oai:bir.brandeis.edu:10192/35653,43137, PDF-1,1597912079, ZA,102.66.9.242,,,,,,
oai:bir.brandeis.edu:10192/35653,43137, PDF-1,1595407642, ZA,102.66.9.242,,,,,,
oai:bir.brandeis.edu:10192/32311,38489, PDF-1,1591376174, ZA,105.1.41.60,,,,,,
oai:bir.brandeis.edu:10192/35395,42695, PDF-1,1602172687, ZA,105.12.2.200,,,,,,
oai:bir.brandeis.edu:10192/35395,42695, PDF-1,1602172800, ZA,105.12.2.200,,,,,,
oai:bir.brandeis.edu:10192/35395,42695, PDF-1,1602172910, ZA,105.12.2.200,,,,,,
oai:bir.brandeis.edu:10192/35395,42695, PDF-1,1602172992, ZA,105.12.2.200,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1593742960, ZA,105.184.104.168,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1593706639, ZA,105.184.104.168,,,,,,
oai:bir.brandeis.edu:10192/23244,23472, PDF-1,1598505734, ZA,105.184.222.138,,,,,,
oai:bir.brandeis.edu:10192/32311,38489, PDF-1,1599313758, ZA,105.185.145.58,,,,,,
https://hdl.handle.net/10192/36759,45501, PDF-1,1598521734, ZA,105.186.218.137,,,,,,
oai:bir.brandeis.edu:10192/23244,23472, PDF-1,1599487292, ZA,105.186.228.128,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1601128069, ZA,105.186.240.141,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1601103670, ZA,105.186.240.141,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584674975, ZA,105.186.85.167,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584613787, ZA,105.186.85.167,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584636641, ZA,105.186.85.167,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584713937, ZA,105.186.85.167,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584769339, ZA,105.186.85.167,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584722017, ZA,105.186.85.167,,,,,,
oai:bir.brandeis.edu:10192/18,25609, PDF-1,1584728204, ZA,105.186.85.167,,,,,,
